date,branch_id,predicted_sales
2025-12-25,B001,113259.63
2025-12-25,B002,69179.35
2025-12-25,B003,28935.17
2025-12-26,B003,34445.73
2025-12-26,B002,67957.02
2025-12-26,B001,100815.19
2025-12-27,B001,142128.53
2025-12-27,B003,39746.76
2025-12-27,B002,77309.64
2025-12-28,B001,119243.91
2025-12-28,B003,40952.76
2025-12-28,B002,84580.77
2025-12-29,B001,103622.26
2025-12-29,B003,30841.15
2025-12-29,B002,63327.2
2025-12-30,B003,35119.37
2025-12-30,B002,59742.6
2025-12-30,B001,111208.34
2025-12-31,B001,118522.5
2025-12-31,B002,66033.07
2025-12-31,B003,32455.47
