date,branch_id,sales,orders,promotion,holiday,store_open,temperature
2024-01-01,B001,107729.48,198,0,0,1,13.3
2024-01-02,B001,98203.46,179,0,0,1,11.0
2024-01-03,B001,108979.06,199,0,0,1,14.1
2024-01-04,B001,101298.78,185,0,0,1,11.7
2024-01-05,B001,124264.67,226,0,0,1,12.7
2024-01-06,B001,135743.89,247,0,0,1,12.5
2024-01-07,B001,116281.52,210,0,0,1,16.1
2024-01-08,B001,91432.22,165,0,0,1,14.7
2024-01-09,B001,95811.11,175,0,0,1,14.2
2024-01-10,B001,110713.5,202,0,0,1,13.6
2024-01-11,B001,117510.0,212,1,0,1,14.3
2024-01-12,B001,120350.45,221,0,0,1,12.7
2024-01-13,B001,129986.65,236,0,0,1,14.8
2024-01-14,B001,121109.88,219,0,0,1,14.5
2024-01-15,B001,90303.09,163,0,0,1,13.3
2024-01-16,B001,102410.47,186,0,0,1,13.9
2024-01-17,B001,100206.8,182,0,0,1,13.3
2024-01-18,B001,105754.85,192,0,0,1,12.1
2024-01-19,B001,115789.56,210,0,0,1,14.5
2024-01-20,B001,133020.7,243,1,0,1,11.6
2024-01-21,B001,127346.08,233,0,0,1,13.5
2024-01-22,B001,111900.49,201,1,0,1,13.8
2024-01-23,B001,94971.96,173,0,0,1,14.5
2024-01-24,B001,120260.78,219,0,0,1,14.6
2024-01-25,B001,135698.78,246,1,0,1,14.6
2024-01-26,B001,109257.43,199,0,0,1,12.8
2024-01-27,B001,134939.28,245,1,0,1,15.4
2024-01-28,B001,128054.19,233,0,0,1,17.4
2024-01-29,B001,99350.77,180,0,0,1,15.1
2024-01-30,B001,101824.31,185,0,0,1,16.3
2024-01-31,B001,119977.43,220,0,0,1,14.2
